secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20180402,03783310,AAPL,3571,0,4,,0,314,164.47,168.94,167.88,166.68,37567429,-0.006556,28,5074013,31.36307
101594,20180403,03783310,AAPL,3571,0,4,,0,314,164.88,168.7455,167.64,168.39,30268695,0.010259,28,5074013,31.36307
101594,20180404,03783310,AAPL,3571,0,4,,0,314,164.77,172.01,164.88,171.61,34598772,0.019122,28,5074013,31.36307
101594,20180405,03783310,AAPL,3571,0,4,,0,314,172.08,174.2304,172.58,172.8,26876551,0.006934,28,5074013,31.36307
101594,20180406,03783310,AAPL,3571,0,4,,0,314,168.2,172.48,170.97,168.38,34998849,-0.025579,28,5074013,31.36307
101594,20180409,03783310,AAPL,3571,0,4,,0,314,169.845,173.09,169.88,170.05,29005570,0.009918,28,5074013,31.36307
101594,20180410,03783310,AAPL,3571,0,4,,0,314,171.53,174,173,173.25,28599353,0.018818,28,5074013,31.36307
101594,20180411,03783310,AAPL,3571,0,4,,0,314,171.7,173.9232,172.23,172.44,22421545,-0.004675,28,5074013,31.36307
101594,20180412,03783310,AAPL,3571,0,4,,0,314,173.04,175,173.41,174.14,22878394,0.009858,28,5074013,31.36307
101594,20180413,03783310,AAPL,3571,0,4,,0,314,173.85,175.84,174.78,174.73,25119898,0.003388,28,5074013,31.36307
101594,20180416,03783310,AAPL,3571,0,4,,0,314,174.8301,176.19,175.0301,175.82,21570785,0.006238,28,5074013,31.36307
101594,20180417,03783310,AAPL,3571,0,4,,0,314,176.41,178.9365,176.49,178.24,26600541,0.013764,28,5074013,31.36307
101594,20180418,03783310,AAPL,3571,0,4,,0,314,176.88,178.82,177.81,177.84,20749997,-0.002244,28,5074013,31.36307
101594,20180419,03783310,AAPL,3571,0,4,,0,314,172.66,175.39,174.95,172.8,34801944,-0.02834,28,5074013,31.36307
101594,20180420,03783310,AAPL,3571,0,4,,0,314,165.43,171.2184,170.595,165.72,65474699,-0.040972,28,5074013,31.36307
101594,20180423,03783310,AAPL,3571,0,4,,0,314,164.09,166.92,166.8348,165.24,36492725,-0.002896,28,5074013,31.36307
101594,20180424,03783310,AAPL,3571,0,4,,0,314,161.2201,166.33,165.67,162.94,33689219,-0.013919,28,5074013,31.36307
101594,20180425,03783310,AAPL,3571,0,4,,0,314,162.41,165.42,162.62,163.65,28371198,0.004357,28,5074013,31.36307
101594,20180426,03783310,AAPL,3571,0,4,,0,314,163.37,165.73,164.12,164.22,27958849,0.003483,28,5074013,31.36307
101594,20180427,03783310,AAPL,3571,0,4,,0,314,160.63,164.33,164,162.32,35646349,-0.01157,28,5074013,31.36307
101594,20180430,03783310,AAPL,3571,0,4,,0,314,161.84,167.26,162.1302,165.26,42396819,0.018112,28,5074013,31.36307
101594,20180501,03783310,AAPL,3571,0,4,,0,314,165.27,169.2,166.4102,169.1,53451389,0.023236,28,5074013,31.36307
101594,20180502,03783310,AAPL,3571,0,4,,0,314,173.8,177.75,175.225,176.57,66516097,0.044175,28,5074013,31.36307
101594,20180503,03783310,AAPL,3571,0,4,,0,314,174.4411,177.5,175.88,176.89,34050656,0.001812,28,4943282,31.36307
101594,20180504,03783310,AAPL,3571,0,4,,0,314,178.17,184.25,178.25,183.83,56181050,0.039233,28,4915138,31.36307
101594,20180507,03783310,AAPL,3571,0,4,,0,314,184.75,187.67,185.18,185.16,42436447,0.007235,28,4915138,31.36307
101594,20180508,03783310,AAPL,3571,0,4,,0,314,183.665,186.22,184.99,186.05,28395014,0.004807,28,4915138,31.36307
101594,20180509,03783310,AAPL,3571,0,4,,0,314,185.22,187.4,186.55,187.36,23204451,0.007041,28,4915138,31.36307
101594,20180510,03783310,AAPL,3571,0,4,,0,314,187.65,190.37,187.74,190.04,27974711,0.014304,28,4915138,31.36307
101594,20180511,03783310,AAPL,3571,0,4,,0,314,187.45,190.06,189.49,188.59,26191689,-0.003789,28,4915138,31.48447
101594,20180514,03783310,AAPL,3571,0,4,,0,314,187.86,189.53,189.01,188.15,20771269,-0.002333,28,4915138,31.48447
101594,20180515,03783310,AAPL,3571,0,4,,0,314,185.1,187.07,186.78,186.44,23679984,-0.009088,28,4915138,31.48447
101594,20180516,03783310,AAPL,3571,0,4,,0,314,186,188.46,186.07,188.18,19181633,0.009333,28,4915138,31.48447
101594,20180517,03783310,AAPL,3571,0,4,,0,314,186.36,188.91,188,186.99,17290818,-0.006324,28,4915138,31.48447
101594,20180518,03783310,AAPL,3571,0,4,,0,314,186.13,187.8102,187.19,186.31,18296936,-0.003637,28,4915138,31.48447
101594,20180521,03783310,AAPL,3571,0,4,,0,314,186.9106,189.27,188,187.63,18398908,0.007085,28,4915138,31.48447
101594,20180522,03783310,AAPL,3571,0,4,,0,314,186.78,188.88,188.375,187.16,15238344,-0.002505,28,4915138,31.48447
101594,20180523,03783310,AAPL,3571,0,4,,0,314,185.76,188.5,186.35,188.36,20047954,0.006412,28,4915138,31.48447
101594,20180524,03783310,AAPL,3571,0,4,,0,314,186.21,188.84,188.77,188.15,23230390,-0.001115,28,4915138,31.48447
101594,20180525,03783310,AAPL,3571,0,4,,0,314,187.65,189.65,188.23,188.58,17458958,0.002285,28,4915138,31.48447
101594,20180529,03783310,AAPL,3571,0,4,,0,314,186.87,188.75,187.6,187.9,22509737,-0.003606,28,4915138,31.48447
101594,20180530,03783310,AAPL,3571,0,4,,0,314,186.78,188,187.72,187.5,18688278,-0.002129,28,4915138,31.48447
101594,20180531,03783310,AAPL,3571,0,4,,0,314,186.14,188.23,187.22,186.87,27478689,-0.00336,28,4915138,31.48447
101594,20180601,03783310,AAPL,3571,0,4,,0,314,187.75,190.26,187.9912,190.24,23438224,0.018034,28,4915138,31.48447
101594,20180604,03783310,AAPL,3571,0,4,,0,314,191.35,193.42,191.635,191.83,26254700,0.008358,28,4915138,31.48447
101594,20180605,03783310,AAPL,3571,0,4,,0,314,192.36,193.94,193.065,193.31,21561974,0.007715,28,4915138,31.48447
101594,20180606,03783310,AAPL,3571,0,4,,0,314,191.92,194.08,193.63,193.98,20926538,0.003466,28,4915138,31.48447
101594,20180607,03783310,AAPL,3571,0,4,,0,314,192.335,194.2,194.14,193.46,21340741,-0.002681,28,4915138,31.48447
101594,20180608,03783310,AAPL,3571,0,4,,0,314,189.77,192,191.17,191.7,26651861,-0.009098,28,4915138,31.48447
101594,20180611,03783310,AAPL,3571,0,4,,0,314,190.21,191.97,191.35,191.23,18308460,-0.002452,28,4915140,31.48447
101594,20180612,03783310,AAPL,3571,0,4,,0,314,191.15,192.611,191.385,192.28,16911141,0.005491,28,4915140,31.48447
101594,20180613,03783310,AAPL,3571,0,4,,0,314,190.44,192.88,192.42,190.7,21638393,-0.008217,28,4915140,31.48447
101594,20180614,03783310,AAPL,3571,0,4,,0,314,190.22,191.57,191.55,190.8,21610074,0.000524,28,4915140,31.48447
101594,20180615,03783310,AAPL,3571,0,4,,0,314,188.26,190.16,190.03,188.84,61719160,-0.010273,28,4915140,31.48447
101594,20180618,03783310,AAPL,3571,0,4,,0,314,187.2,189.22,187.88,188.74,18484865,-0.00053,28,4915140,31.48447
101594,20180619,03783310,AAPL,3571,0,4,,0,314,183.45,186.33,185.14,185.69,33578455,-0.01616,28,4915140,31.48447
101594,20180620,03783310,AAPL,3571,0,4,,0,314,185.73,187.2,186.35,186.5,20628701,0.004362,28,4915140,31.48447
101594,20180621,03783310,AAPL,3571,0,4,,0,314,184.94,188.35,187.25,185.46,25711898,-0.005576,28,4915140,31.48447
101594,20180622,03783310,AAPL,3571,0,4,,0,314,184.7,186.15,186.12,184.92,27200447,-0.002912,28,4915140,31.48447
101594,20180625,03783310,AAPL,3571,0,4,,0,314,180.73,184.92,183.4,182.17,31663096,-0.014871,28,4915140,31.48447
101594,20180626,03783310,AAPL,3571,0,4,,0,314,182.54,186.53,182.99,184.43,24569201,0.012406,28,4915140,31.48447
101594,20180627,03783310,AAPL,3571,0,4,,0,314,184.03,187.28,185.2278,184.16,25285328,-0.001464,28,4915140,31.48447
101594,20180628,03783310,AAPL,3571,0,4,,0,314,183.8,186.21,184.1,185.5,17365235,0.007276,28,4915140,31.48447
